Id	Text	Speaker	Action	OnScreen Characters	Background	Music
	"Why?"	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Dunno. Maybe they think that because I take care of my body, I am a terrible cook."	Keisuke		Keisuke - Shirtless	Kitchen	
	"Well, you are not."	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Thanks!"	Keisuke		Keisuke - Shirtless	Kitchen	
	"And your body is, indeed, very nice. I wish I could maintain a body like that."	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Th-Thanks man! Hahaha"	Keisuke		Keisuke - Shirtless		
	Keisuke seems a little nervous.	None		Keisuke - Shirtless		
	"Yours isn't half as bad actually. I like slim built guys."	Keisuke		Keisuke - Shirtless		
	What? Did he just say he likes... guys? Guys like me...?	None				
	It's probably just the alcohol speaking.	None				
	Still... A guy like him... Into me...	None				
	...	None				
	I notice we just made a huge mess in the kitchen and we need to clean this up SOON.	None				
	"Umm... Keisuke... we really can't leave all this mess behind"	Hameru Tabe				
	"Oh, right!  I gotta take care of the dishes."	Keisuke		Keisuke - Shirtless		
	"Hey man, whaddya say you help me with this and we'll get it over with before you can say "GUACUM MOLE"! Hahahaha!"	Keisuke		Keisuke - Shirtless		
	"Hahahahaha!"	Hameru Tabe		Keisuke - Shirtless		
	We both laugh.	None				
	...	None				
	We quickly get to the cleaning. Keisuke does the dishes and I dry them off and put them away.	None				
	As I walked to the cabinet I feel a splash on my back...	None				
	He he he he...	Keisuke				
		Hameru Tabe				
						
	WASH DISHES					
	WATER FIGHT					
	DRIPPING WET					
	BOTH NAKED					
	"WHOSE FAULT" FIGHT					
	SEX					
	Gosh, that was crazy. I need some sleep...	None	S1-21	None	My room	
						
21	...zzz	None	S2-1	None	My room	
