Id	Text	Speaker	Action	OnScreen Characters	Background	Music
	"Okay."	Hameru Tabe		Orika - Embarrassed	Kitchen	
	I take her outside, without saying anything, but with quite a noise.	None		Orika - Embarrassed	Kitchen	
	As we get out, she stands up right.	None		None	Black screen	Mute
	"I think I owe you an explanation."	Orika		Orika - Akward	School corridor	
	"You don't owe me anything, but I'll be lying if I say that I'm not curious."	Hameru Tabe		Orika - Akward	School corridor	
	"I'll explain everything, but first, can I kiss you, senpai?"	Orika		Orika - Embarassed	School corridor	
	[OPT] Senpai?	None	S3-19	Orika - Embarassed	School corridor	
	[OPT] Kiss her.	None	S3-18	Orika - Embarassed	School corridor	
						
17	"I think it will be good to Orika if she do it."	Hameru Tabe	SET O I	Orika - Neutral;Cavallo - Neutral	Kitchen	
	The class starts a commotion again.	None		Orika - Angry;Cavallo - Neutral	Kitchen	
	"I agree."	Cavallo		Orika - Angry;Cavallo - Neutral	Kitchen	
	Orika looks at me with disappointment as she moves towards sensei's island, and she opens the oven door.	None		Orika - Angry;Cavallo - Neutral	Kitchen	
	Sensei approaches her.	None		Orika - Embarassed;Cavallo - Neutral	Kitchen	
	"Okay, you can do it."	Cavallo		Orika - Embarassed;Cavallo - Neutral	Kitchen	
	"Grab the pizza shovel with your good hand on the back and your bad hand on the middle."	Cavallo		Orika - Embarassed;Cavallo - Neutral	Kitchen	
	He stands behind her, almost humping her.	None		Orika - Embarassed;Cavallo - Neutral	Kitchen	
	"Now, put the round part below the pizza and pull it back out."	Cavallo		Orika - Embarassed;Cavallo - Neutral	Kitchen	
	As she is pulling, she rotates in a way that Cavallo is with his back to the opened oven.	None		Orika - Embarassed;Cavallo - Neutral	Kitchen	
	"I made it!"	Orika		Orika - Happy;Cavallo - Happy	Kitchen	
	She jumps in joy, and with her movement, she pushes sensei inside the oven.	None		None	Kitchen	Mute
	Scared, she puts her arms on her head, leaning on the shovel as it catapults the pizza into the oven.	None		None	Kitchen	Whatever
	It seems sensei is stuck there, covered in hot pizza and with the pizza shovel blocking his way out.	None		None	Kitchen	
	"Oh Jesus! Sorry! Sorry!"	Orika		Orika - Spooked	Kitchen	
	Orika is on the floor, crying.	None		None	Kitchen	
	What the fuck has she done?	None		None	Kitchen	
	"Someone call Izumi! Quick!"	Random Student		None	Kitchen	
	"Someone get him out!"	Another Student		None	Kitchen	
	Keisuke runs to the oven, to try to help sensei out of the oven.	None		None	Kitchen	
	I decide to run to the infirmary to fetch the nurse, while the rest of the class watches.	None		None	Black screen	
	As I run, I just think that this may, somehow, be my fault.	None		None	School corridor	
	When I'm almost at the infirmary, I see Izumi running towards me.	None		None	School corridor	
	"If it's about Cavallo, I'm getting there already! Go outside! There may be a fire starting."	Izumi		Izumi - Suspicious	School corridor	
	A fire alarm starts ringing, and I have no idea of the evacuation route. Shit.	None		None	School corridor	
	I decide to go outside through the only way I know: Passing through the kitchen.	None		None	School corridor	
	As I run past the kitchen, I see Izumi desperate on the floor, over a disfigured mass of meat over a skinny well dressed body.	None		CG - Cavallo Burned Head (Dead)	CG - Cavallo Burned Head (Dead)	
	As I run past the kitchen, I see Izumi desperate on the floor, over a disfigured mass of meat over a skinny well dressed body.	None		CG - Cavallo Burned Head (Dead)	CG - Cavallo Burned Head (Dead)	
	I think that is... or was Cavallo...	None		None	School corridor	
	I feel sick. There's smoke all around.	None		None	School corridor	
	Gotta get outside quick.	None		None	School corridor	
	...	None		None	Black screen	Mute
	Finally, I'm outside.	None		None	School gates	
	I see some familiar faces.	None		None	School gates	
	Rokuko	None		Rokuko - Sad	School gates	
	Keisuke	None		Keisuke - Sad	School gates	
	En	None		En - Sad	School gates	
	Orika	None		Orika - Sad	School gates	
	Jacques	None		Jacques - Sad	School gates	
	Shit. What the fuck happened?	None	S3-22	None	School gates	
						
18	"No..."	Hameru Tabe	SET O L	Orika - Embarassed	School corridor	
	I pull her towards me and kiss her.	None		Orika - Blushing	School corridor	
	Her weight falls on my arms.	None		Orika - Blushing	School corridor	
	"I think we can stop the act now."	Hameru Tabe		Orika - Blushing	School corridor	
	"There's no act for you anymore."	Orika		Orika - Blushing	School corridor	
	I kiss her again.	None		Orika - Aroused	School corridor	
	"I'll tell you everything."	Orika	S3-21	Orika - Aroused	School corridor	
	"Okay. I think what you did was right."	Hameru Tabe		Orika - Neutral	School corridor	
	We decide to go back to my room.	None		Orika - Neutral	School corridor	
	_HEAVY DESCRIPTION OF MAIN CHARACTER FUCKS ORIKA_					
	She dresses back up and leave to her room. That was a nice turn of events.	None	S3-22	Orika - Neutral	My room	
						
19	"Senpai?"	Hameru Tabe	SET O F	Orika - Embarassed	School corridor	
	"You don't want to be my senpai?"	Orika		Orika - Embarassed	School corridor	
	"I don't know. Never thought about it. Tell me what just happened."	Hameru Tabe		Orika - Embarassed	School corridor	
	"Don't you trust me?"	Orika		Orika - Embarassed	School corridor	
	"Tell me, please."	Hameru Tabe		Orika - Embarassed	School corridor	
	"Okay."	Orika	S3-21	Orika - Embarassed	School corridor	
	"Well..."	Hameru Tabe	S3-20	Orika - Neutral	School corridor	
						
20	"Okay, I think what you did was self-defense. But I think I would've done it differently."	Hameru Tabe		Orika - Neutral	School corridor	
	"Oh, believe me, I wanted to do it differently. He was supposed to die."	Orika		Orika - Angry	School corridor	
	"You are giving me the creeps. But it's okay."	Hameru Tabe		Orika - Angry	School corridor	
	"Okay how?"	Orika		Orika - Angry	School corridor	
	"We have to accept the people we like not as who they are, but as whoever they become."	Hameru Tabe		Orika - Angry	School corridor	
	"You like me?"	Orika		Orika - Angry	School corridor	
	"Yes, I think so. You're cool."	Hameru Tabe		Orika - Angry	School corridor	
	"But which one of me?"	Orika		Orika - Angry	School corridor	
	"I'm okay with either version: clumsy or killer ninja."	Hameru Tabe		Orika - Angry	School corridor	
	"Don't anyone or I will kill you."	Orika		Orika - Angry	School corridor	
	She stares at me with a serious face.	None		Orika - Angry	School corridor	
	I tense up.	None		Orika - Angry	School corridor	
	"Hahahaha I SHOULD'VE TAKEN A PICTURE OF YOUR FACE JUST NOW"	Orika		Orika - Happy	School corridor	
	"Oh! Dumbass!"	Hameru Tabe		Orika - Happy	School corridor	
	"So, are you going to teach me to cook the Blowfish or not?"	Hameru Tabe		Orika - Happy	School corridor	
	"Yes, eventually. I think the kitchen will be closed for a while because of the accident..."	Orika		Orika - Happy	School corridor	
	"Yeah, makes sense."	Hameru Tabe		Orika - Happy	School corridor	
	We talked for some time, then each of us went for our rooms.	None	S3-22	None	Black screen	
						
21	ORIKA OPENS UP ABOUT CAVALLO SEXUAL ABUSES					
						
22		None	S4-1	None		
